GEOID,total_amenities,manual_wheelchair_count,unconstrained_pedestrian_count,wheelchair_bus_stop_count,pedestrian_bus_stop_count,wheelchair_supermarket_count,pedestrian_supermarket_count,wheelchair_school_count,pedestrian_school_count,wheelchair_hospital_count,pedestrian_hospital_count,wheelchair_college_count,pedestrian_college_count,wheelchair_middle_or_high_school_count,pedestrian_middle_or_high_school_count,wheelchair_elementary_school_count,pedestrian_elementary_school_count,wheelchair_other_school_count,pedestrian_other_school_count,wheelchair_grocery_store_count,pedestrian_grocery_store_count,wheelchair_station_count,pedestrian_station_count,wheelchair_doctors_count,pedestrian_doctors_count,wheelchair_clinic_count,pedestrian_clinic_count,wheelchair_healthcare_count,pedestrian_healthcare_count,COUNTYFP,wa_demo_census_tract_NAME,TOTAL_POPU
53011041203,23.0,20.0,20.0,18.0,18.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Census Tract 412.03; Clark County; Washington,5513.0
53011041205,10.0,10.0,10.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,11.0,Census Tract 412.05; Clark County; Washington,5386.0
53011041206,11.0,9.0,9.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,Census Tract 412.06; Clark County; Washington,6258.0
53011041207,4.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Census Tract 412.07; Clark County; Washington,2222.0
53011041208,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53011041309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Census Tract 413.09; Clark County; Washington,4905.0
53011041310,15.0,14.0,14.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,11.0,Census Tract 413.10; Clark County; Washington,5013.0
53011041312,15.0,13.0,13.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,11.0,Census Tract 413.12; Clark County; Washington,5506.0
53011041313,16.0,15.0,15.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,Census Tract 413.13; Clark County; Washington,3038.0
53011041317,15.0,12.0,12.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,11.0,Census Tract 413.17; Clark County; Washington,6662.0
53011041318,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53011041319,9.0,8.0,8.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,Census Tract 413.19; Clark County; Washington,6590.0
53011041320,10.0,8.0,8.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,Census Tract 413.20; Clark County; Washington,6580.0
53011041321,4.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,Census Tract 413.21; Clark County; Washington,2801.0
53011041322,21.0,16.0,16.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,Census Tract 413.22; Clark County; Washington,4919.0
53011041323,13.0,11.0,11.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,11.0,Census Tract 413.23; Clark County; Washington,5732.0
53011041325,10.0,8.0,9.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,4.0,11.0,Census Tract 413.25; Clark County; Washington,5579.0
53011041326,8.0,7.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,Census Tract 413.26; Clark County; Washington,2577.0
53011041327,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53011041328,20.0,19.0,19.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,8.0,11.0,Census Tract 413.28; Clark County; Washington,6058.0
53011041329,19.0,12.0,12.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,11.0,Census Tract 413.29; Clark County; Washington,5397.0
